Regime,Sample_Count,Empirical_Success_Rate,GBDT_PR_AUC,BCAPM_PR_AUC,GBDT_ROI,BCAPM_ROI,BCAPM_Capital_Preservation
Pre-2005 (Early Web Era),3515,0.7911806543385491,0.9306071980148956,0.9289951343850579,15.227863046044865,14.823613086770981,0.0
2005-2007 (Web 2.0 Boom),1733,0.6105020196191575,0.8632661697646213,0.8608757314768632,13.881439084219133,11.210040392383151,0.0
2008-2009 (Financial Crisis),1254,0.4840510366826156,0.814820491463963,0.8067321085389378,14.220588235294118,8.681020733652312,0.0
2010-2012 (Cloud & Mobile),5786,0.4262011752506049,0.7320118597617906,0.7303490917169042,12.69158878504673,7.525496974935177,0.00030120481927710846
2013-2015 (Unicorn Era),970,0.1670103092783505,0.4706045323981546,0.46612982613563975,9.505050505050505,2.3402061855670104,0.0
