Model,Operating_Threshold,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,Brier_Score,Total_Investments,Winner_Capture_Rate,Capital_Preservation_Ratio,Mean_Monte_Carlo_ROI,Median_ROI,Sharpe_Ratio,Sortino_Ratio,CVaR_95,Prob_Capital_Loss
Baseline 0: Naive Majority,0.5,0.1670103092783505,0.1670103092783505,1.0,0.2862190812720848,0.5,0.1670103092783505,0.8329896907216495,970,1.0,0.0,0.8884717248287695,0.836740569413716,1.9508579110396362,17.340969963933883,0.19801240833344816,0.001
Baseline 1: Logistic Regression,0.5,0.8515463917525773,0.6607142857142857,0.22839506172839505,0.3394495412844037,0.732994132746608,0.4685030313967641,0.14636098489947347,56,0.22839506172839505,0.9764851485148515,6.545339616279327,5.303813402454088,1.8244594506915393,6508830.785493833,2.289589192547292,0.0
Baseline 2: Random Forest,0.5,0.8371134020618557,0.5196078431372549,0.3271604938271605,0.4015151515151515,0.778446247402518,0.48824276497061125,0.13578668799572222,102,0.3271604938271605,0.9393564356435643,4.8673621041664905,4.164173688054675,2.1498527602189466,4832529.574591898,1.89290603721949,0.0
Baseline 3: GBDT (Standard BCE),0.5,0.8381443298969072,0.5252525252525253,0.32098765432098764,0.39846743295019155,0.7728845801246791,0.4706045323981546,0.13010164273349312,99,0.32098765432098764,0.9418316831683168,4.927418278401618,4.189541225650242,2.0671080997962306,4892525.752648968,1.940534090023509,0.0
Baseline 4: SMOTE + GBDT,0.05,0.1670103092783505,0.1670103092783505,1.0,0.2862190812720848,0.7732971213788046,0.46611084323537777,0.11892152658794183,970,1.0,0.0,0.8884717248287695,0.836740569413716,1.9508579110396362,17.340969963933883,0.19801240833344816,0.001
Baseline 5: Class-Weighted GBDT,0.05,0.1670103092783505,0.1670103092783505,1.0,0.2862190812720848,0.7742711771177118,0.47813489528780195,0.11948326089013622,970,1.0,0.0,0.8884717248287695,0.836740569413716,1.9508579110396362,17.340969963933883,0.19801240833344816,0.001
Proposed: BCAPM Economic Model,0.05,0.1670103092783505,0.1670103092783505,1.0,0.2862190812720848,0.771085441877521,0.46612982613563975,0.12953088242370653,970,1.0,0.0,0.8884717248287695,0.836740569413716,1.9508579110396362,17.340969963933883,0.19801240833344816,0.001
