Step,PR_AUC,Brier_Score,Mean_ROI,Sharpe_Ratio
"Step 1: Raw Conventional GBDT (BCE, p=0.50)",0.4706045323981546,0.13010164273349312,4.927418278401618,2.0671080997962306
Step 2: Step 1 + Probability Calibration,0.4706045323981546,0.13092319199861968,4.576441390099119,2.2313793607872787
Step 3: Step 2 + Bayesian Hurdle (p*=0.05),0.4706045323981546,0.13092319199861968,0.8794666450102646,1.9166301718690162
Step 4: Step 3 + Asymmetric Loss Objective,0.46612982613563975,0.11595515035546153,0.8775270509493666,1.9142293836118778
Step 5: Full BCAPM (Calibrated + Asymmetric + EMV),0.46612982613563975,0.12953088242370653,0.8884717248287695,1.9508579110396362
