Model,Threshold,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,Brier_Score,Total_Investments,Selection_Rate,Precision@100,Recall@100,Precision@500,Recall@500,Capital_Deployed_M,Portfolio_Net_Return_M,Portfolio_ROI,Capital_Loss_M,Opportunity_Loss_M,Total_EMV_M,Capital_Preservation_Ratio,Winner_Capture_Rate,Portfolio_Success_Rate
Model A: Standard (BCE),0.5,0.9061883816168663,0.9061883816168663,1.0,0.9507857569126715,0.6984905127308443,0.9530488602519068,0.08058729016137664,13186,1.0,0.97,0.008117834128378944,0.976,0.04084023767679304,13186.0,225794.0,17.123767632337326,1237.0,0.0,225710.50343079073,0.0,1.0,0.9061883816168663
Model B: Class-Weighted,0.05,0.9061883816168663,0.9061883816168663,1.0,0.9507857569126715,0.6939450222053266,0.9524489819713133,0.21357252554251233,13186,1.0,0.99,0.008285212151644489,0.986,0.0412586827349569,13186.0,225794.0,17.123767632337326,1237.0,0.0,134420.3494281294,0.0,1.0,0.9061883816168663
Model C: SMOTE Resampled,0.05,0.9061883816168663,0.9061883816168663,1.0,0.9507857569126715,0.6775904506034235,0.949939414168274,0.16908386263330558,13186,1.0,0.99,0.008285212151644489,0.99,0.041426060758222444,13186.0,225794.0,17.123767632337326,1237.0,0.0,158090.0969226452,0.0,1.0,0.9061883816168663
Model D: Asymmetric Loss,0.05,0.9061883816168663,0.9061883816168663,1.0,0.9507857569126715,0.6984580384175185,0.9532752825786268,0.10019521045696836,13186,1.0,1.0,0.008368901163277261,0.978,0.04092392668842581,13186.0,225794.0,17.123767632337326,1237.0,0.0,192765.05649742635,0.0,1.0,0.9061883816168663
Model E: BCAPM Economic Model,0.05,0.9061883816168663,0.9061883816168663,1.0,0.9507857569126715,0.6984905127308443,0.9530488602519068,0.0805911709139264,13186,1.0,0.97,0.008117834128378944,0.976,0.04084023767679304,13186.0,225794.0,17.123767632337326,1237.0,0.0,225639.93331981584,0.0,1.0,0.9061883816168663
