Outcome_Tier,Total_Test_Samples,Success_Rate_Test,GBDT_PR_AUC,BCAPM_PR_AUC,GBDT_Sharpe,BCAPM_Sharpe,GBDT_Mean_ROI,BCAPM_Mean_ROI,BCAPM_Sortino
outcome_1_survival,12625,0.936,0.9634016684994433,0.962785376966595,32.50806342043007,32.50806342043007,9.450954219605991,9.450954219605991,9411542.676929062
outcome_2_liquidity,970,0.1670103092783505,0.4706045323981546,0.46612982613563975,2.0671080997962306,1.9508579110396362,4.927418278401618,0.8884717248287695,17.340969963933883
outcome_3_vc_outlier,970,0.029896907216494847,0.8129964142954874,0.8118546045590855,1.567461595310936,1.6246180291377728,6.797190703688984,6.6088428726915796,6572270.60208949
