Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Gradient Boosting,0.9055058395267708,0.906556256172605,0.9986609758138756,0.9503822873526601,0.7033683913842128
Random Forest,0.9061883816168663,0.9061883816168663,1.0,0.9507857569126715,0.6927136368369127
Decision Tree,0.9049749734566965,0.9063212277769336,0.9983262197673446,0.9501015491218988,0.6756675653256331
ANN (Neural Network),0.9018656150462612,0.9067104359111382,0.9939743911624404,0.9483391887575854,0.6669182749401205
Logistic Regression,0.9061883816168663,0.9061883816168663,1.0,0.9507857569126715,0.6394992988592789
