name,market,funding_total_usd,status,country_code,state_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at
Entegrion,Biotechnology,2057228,operating,USA,NC,Raleigh,3,,2009-10-18,2011-10-07
MyDream Interactive,Software,2056919,operating,USA,CA,Palo Alto,1,,2013-06-28,2013-06-28
Auterra,Clean Technology,2056426,operating,USA,NY,Schenectady,3,,2006-02-06,2012-08-23
Future Path Medical Holding Company,Health Care,2056092,operating,USA,OH,New Concord,2,2014-01-01,2013-03-05,2014-12-15
Lengow,Marketplaces,2055949,operating,FRA,,Nantes,2,2012-04-01,2010-03-22,2010-07-01
BrightLocker,Software,2055000,operating,USA,TX,Round Rock,5,2012-01-01,2014-05-30,2015-05-15
Urban Interactions,Consulting,2055000,operating,USA,MA,Cambridge,2,,2010-08-11,2011-06-21
SHERPANY,Information Technology,2054488,operating,CHE,,Zí_rich,2,2009-11-13,2013-02-01,2014-06-01
eBoox,Kids,2052410,operating,ITA,,Milan,3,2011-04-01,2012-12-01,2015-05-06
"ispace technologies, inc.",Navigation,2052399,operating,JPN,,Tokyo,2,2010-01-01,2013-05-01,2015-01-01
Email Data Source,Advertising,2052167,operating,USA,NY,New York,2,2013-01-01,2009-05-04,2011-08-23
KlikkaPromo,Search,2051813,operating,ITA,,Milan,2,,2013-07-23,2014-10-20
PEVESA,Biotechnology,2050880,operating,ESP,,Seville,1,2011-01-01,2013-04-04,2013-04-04
ChatGrape,Communications Infrastructure,2050216,operating,AUT,,Vienna,6,2015-01-01,2010-01-01,2015-01-20
Carmot Therapeutics,Biotechnology,2050158,operating,USA,CA,San Francisco,2,2014-09-01,2010-04-23,2012-07-17
10-20 Media,E-Commerce,2050000,operating,USA,MD,Woodbine,4,2012-01-01,2009-06-18,2011-12-28
Chatbooks,Apps,2050000,operating,USA,UT,Provo,2,2014-09-09,2014-09-26,2015-05-21
CureLauncher,Medical,2050000,operating,USA,MI,Bloomfield Hills,5,2014-06-02,2013-01-01,2014-09-12
GLSS,Information Technology,2050000,operating,USA,CA,San Francisco,1,2011-01-01,2011-08-15,2011-08-15
GoCoin,Mobile Payments,2050000,operating,SGP,,Singapore,2,2011-01-01,2013-11-07,2014-03-26
Health & Bliss,Health and Wellness,2050000,operating,USA,TN,Memphis,2,2014-11-21,2013-05-13,2013-09-18
Masterson Industries,Manufacturing,2050000,operating,USA,NM,Albuquerque,2,2010-01-01,2013-08-13,2015-02-25
opendorse,Software,2050000,operating,USA,NE,Lincoln,2,,2013-06-30,2015-04-07
Package Concierge,Real Estate,2050000,operating,USA,MA,Medfield,2,2005-06-01,2014-01-29,2015-01-29
QUIQ,Health and Wellness,2050000,operating,USA,PA,Malvern,2,2012-01-01,2009-12-28,2011-10-19
TriQ Systems,Manufacturing,2050000,operating,USA,CA,Ukiah,2,2012-10-01,2014-02-11,2014-07-17
Vamp Communications,Software,2050000,operating,USA,NC,Durham,2,2011-04-01,2010-08-01,2012-09-25
Accelerated Pharma,Pharmaceuticals,2049999,operating,USA,IL,Illinois City,1,2012-02-13,2015-06-04,2015-06-04
MedTouch,Health Care,2049999,operating,USA,MA,Cambridge,1,2003-01-01,2015-06-25,2015-06-25
Monscierge,Software,2049999,operating,USA,OK,Oklahoma City,1,2012-01-01,2014-05-12,2014-05-12
FABPulous,Health Care,2048418,operating,NLD,,Maastricht,2,,2010-01-11,2015-02-04
HealthCrowd,Health and Wellness,2046649,operating,USA,CA,Foster City,3,1985-04-23,2012-11-01,2015-08-06
Pragmatik IO Solutions,Software,2045999,operating,USA,GA,Atlanta,1,,2014-07-21,2014-07-21
Movable,Hardware + Software,2045000,operating,USA,OH,Brecksville,2,2009-01-01,2011-02-14,2013-06-04
miLibris,Digital Media,2044050,operating,FRA,,Paris,1,,2011-11-01,2011-11-01
Valon Lasers,Manufacturing,2044050,operating,FIN,,Vantaa,1,,2011-11-01,2011-11-01
VBOX,Biotechnology,2043860,operating,USA,MN,White Bear Lake,2,2014-01-21,2011-04-27,2014-08-14
Microbiome Therapeutics,Biotechnology,2043445,operating,USA,CO,Broomfield,2,2009-01-01,2013-12-20,2015-06-24
Quikly,E-Commerce,2043396,operating,USA,MI,Detroit,4,2014-08-01,2012-04-16,2014-02-27
EnChroma,Medical Devices,2043272,operating,USA,CA,Berkeley,4,2012-09-01,2003-01-01,2013-03-03
IceMos Technology,Semiconductors,2043101,operating,GBR,,Belfast,1,,2011-02-07,2011-02-07
Balinea,Internet,2042993,operating,FRA,,Paris,2,,2011-01-01,2014-07-09
Handa Pharmaceuticals,Biotechnology,2042917,operating,USA,CA,Fremont,1,2012-01-01,2009-04-01,2009-04-01
Ciao Telecom,Hardware + Software,2042000,operating,BRA,,Sí£o Paulo,2,2013-01-01,2010-06-05,2012-06-01
Zomazz,Curated Web,2040342,operating,USA,CA,Monterey Park,1,,2012-06-20,2012-06-20
Minimus Spine,Biotechnology,2040250,operating,USA,TX,Austin,2,,2011-01-11,2012-11-15
Vector Watch,,2039604,operating,GBR,,London,1,,2014-07-07,2014-07-07
FINDING ROVER,Pets,2039525,operating,USA,CA,Brentwood,1,2011-01-01,2014-03-26,2014-03-26
